المطار,الرمز,إجمالي الحركات,مغادرات,وصولات,متوسط شهري,أعلى شهر,شركات التشغيل,الوجهات,أنواع الطائرات,طائرات فريدة,حصة الركاب %,حصة العسكري %,وسيط زمن الرحلة (د),وسيط المسافة (كم),نمو يناير-أغسطس %
مطار دمشق الدولي,DAM/OSDI,19743,9888,9678,1022.7,2026-07 (1408),60,95,64,546,94.6,0.8,121.0,1485.0,30.7
مطار حلب الدولي,ALP/OSAP,5068,2589,2468,296.0,2026-08 (694),23,26,22,216,95.4,0.5,90.0,1026.0,358.1
مطار باسل الأسد الدولي (اللاذقية),LTK/OSLK,252,153,97,13.3,2025-12 (37),5,14,12,33,0.0,96.0,250.0,1658.0,235.1
